tag_name,category,category_description,steel_grade,size,method,outlier_count,outlier_ratio,risk_level,count,direction,filter_removal_rate,detail_1,detail_2
PINCHROLL_2_ACTUAL_SPEED,08_Pinchroll,핀치롤,B5,D13,IQR,347,5.4508325479107755,caution,6366,lower,11.4726741760534,"Q1=-326.16965, Q3=-317.31645000000003","mean=-322.99, std=8.72"
PINCHROLL_3_ACTUAL_SPEED,08_Pinchroll,핀치롤,B5,D13,IQR,711,11.16870876531574,warning,6366,upper,11.4726741760534,"Q1=1280.914, Q3=1289.1432499999999","mean=1286.88, std=10.21"
PINCHROLL_4_ACTUAL_SPEED,08_Pinchroll,핀치롤,B5,D13,IQR,708,11.121583411875589,warning,6366,upper,11.4726741760534,"Q1=1278.55625, Q3=1288.63225","mean=1285.88, std=10.80"
PINCHROLL_2_ACTUAL_TORQUE,08_Pinchroll,핀치롤,B5,D13,IQR,1253,19.682689286836318,danger,6366,lower,11.4726741760534,"Q1=16.83172, Q3=19.99504","mean=16.72, std=6.01"
PINCHROLL_3_ACTUAL_TORQUE,08_Pinchroll,핀치롤,B5,D13,IQR,1355,21.284951303801446,danger,6366,lower,11.4726741760534,"Q1=30.6908775, Q3=34.99556","mean=29.36, std=10.77"
PINCHROLL_4_ACTUAL_TORQUE,08_Pinchroll,핀치롤,B5,D13,IQR,1330,20.89224002513352,danger,6366,lower,11.4726741760534,"Q1=30.3987875, Q3=34.9956475","mean=29.50, std=10.46"
PINCHROLL_2_REFERENCE_TORQUE,08_Pinchroll,핀치롤,B5,D13,IQR,8,0.12566760917373546,normal,6366,upper,11.4726741760534,"Q1=20.0, Q3=20.0","mean=20.07, std=2.26"
PINCHROLL_3_REFERENCE_TORQUE,08_Pinchroll,핀치롤,B5,D13,IQR,1349,21.190700596921143,danger,6366,upper,11.4726741760534,"Q1=35.0, Q3=42.439585","mean=46.17, std=21.18"
PINCHROLL_4_REFERENCE_TORQUE,08_Pinchroll,핀치롤,B5,D13,IQR,1341,21.065032987747408,danger,6366,upper,11.4726741760534,"Q1=35.0, Q3=42.909792499999995","mean=46.27, std=21.30"
PINCHROLL_3_REFERENCE_SPEED,08_Pinchroll,핀치롤,B5,D13,IQR,783,12.299717247879359,warning,6366,lower,11.4726741760534,"Q1=1308.6, Q3=1308.6","mean=1307.92, std=6.28"
PINCHROLL_4_REFERENCE_SPEED,08_Pinchroll,핀치롤,B5,D13,IQR,153,2.403393025447691,normal,6366,lower,11.4726741760534,"Q1=1310.88, Q3=1315.08","mean=1311.66, std=5.06"
